https://www.otomoto.pl/osobowe/oferta/volkswagen-tiguan-ID6HxhRQ.html	Volkswagen Tiguan 2.0 TDI SCR 4MOTION DSG R-Line	134 900	Volkswagen	Tiguan	Czarny	5	5	2021	
https://www.otomoto.pl/osobowe/oferta/byd-seal-u-byd-ID6HcZIH.html	BYD Seal U ver-1-5-dm--i-boost	167 904	BYD	Seal U	Czarny	4	5	2025	
https://www.otomoto.pl/osobowe/oferta/land-rover-defender-ID6HDIxb.html	Land Rover Defender	459 999	Land Rover	Defender	Czarny	5	7	2023	
https://www.otomoto.pl/osobowe/oferta/citroen-c1-ID6HIaRY.html	Citroën C1 1.0i Seduction	17 000	Citroën	C1	Czerwony	5	4	2012	
https://www.otomoto.pl/osobowe/oferta/byd-seal-5-ID6Htvvx.html	BYD Seal 5	130 634	BYD	Seal 5	Czarny	4	5	2025	
https://www.otomoto.pl/osobowe/oferta/peugeot-308-ID6HIeWT.html	Peugeot 308	28 900	Peugeot	308	Biały	5	5	2014	
https://www.otomoto.pl/osobowe/oferta/skoda-octavia-ID6HIdxx.html	Skoda Octavia ver-1-8-tsi-4x4-ambition-dsg	42 900	Skoda	Octavia	Brązowy	5	5	2013	
https://www.otomoto.pl/osobowe/oferta/volkswagen-tiguan-ID6H9eK8.html	Volkswagen Tiguan 2.0 TSI 4Mot Track&Style DSG	54 900	Volkswagen	Tiguan	Granatowy	5	5	2016	
https://www.otomoto.pl/osobowe/oferta/hyundai-i30-ID6HIesL.html	Hyundai i30	35 900	Hyundai	i30	Szary	5	5	2014	
https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-ID6HIeps.html	Chrysler Pacifica	79 900	Chrysler	Pacifica	Biały	5	7	2018	
https://www.otomoto.pl/osobowe/oferta/byd-seal-u-byd-ID6HAPf3.html	BYD Seal U DM-i 1.5 Boost	149 900	BYD	Seal U	Biały	4	5	2025	
https://www.otomoto.pl/osobowe/oferta/mazda-cx-60-ID6H8fc5.html	Mazda CX-60	174 999	Mazda	CX-60	Biały	5	5	2022	
https://www.otomoto.pl/osobowe/oferta/kia-sorento-ID6Htmqf.html	Kia Sorento 2.5 CRDi Freedom +	19 999	Kia	Sorento	Czarny	5	5	2005	
https://www.otomoto.pl/osobowe/oferta/bmw-x2-ID6HIeED.html	BMW X2	88 500	BMW	X2	Szary	5	5	2022	
